block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,gate_R4s,gate_audit,det_ms,features_used,sp_out_of_band,n_queries,n_ok,n_failed,exec_ms_window_sum,wall_ms_window,qps_window
0,9000,dci_gated,1,edge,0,0.8175445350038288,1.0,0.7788603733587827,0.8,0.8121794871794872,0.8419851314996369,0,1.0,cheap,1.0,0,0.5997,cheap,1,20,20,0,415.249,415.536,48.1306
0,9000,dci_gated,2,edge,0,0.8568140293617765,1.0,0.6505670034399254,0.9,0.8894871794871796,0.8577399849515062,0,1.5734,cheap,1.0,0,0.2888,cheap,1,20,20,0,373.068,373.386,53.5639
0,9000,dci_gated,3,edge,0,0.8126696968621718,1.0,0.6490735743448681,0.8,0.7725641025641026,0.808866754469132,0,1.6829,cheap,1.0,0,0.3251,cheap,1,20,20,0,545.025,545.298,36.6772
0,9000,dci_gated,4,edge,0,0.8657676528570004,1.0,0.5105933039520065,0.875,0.7637179487179487,0.8081182663123437,0,1.3079,cheap,1.0,0,0.3245,cheap,1,20,20,0,309.455,309.812,64.5554
0,9000,dci_gated,5,geo,1,0.4166952732048943,1.0,0.0,0.17142857142857143,0.7619230769230769,0.45274799412539946,1,1.093,cheap,0.6725,0,0.3364,cheap,1,20,20,0,7280.57,7281.188,2.7468
0,9000,dci_gated,6,geo,0,0.6707436088633502,1.0,0.4705343330096934,0.43333333333333335,0.7403846153846154,0.6595171277921352,1,1.0988,cheap,0.591,0,0.3127,cheap,1,20,20,0,3830.805,3831.292,5.2202
0,9000,dci_gated,7,geo,0,0.7644618960149923,1.0,0.6132316586056861,0.7166666666666667,0.7719230769230769,0.7728836005966802,0,1.0975,cheap,0.61,0,0.3177,cheap,1,20,20,0,2054.629,2055.048,9.7321
0,9000,dci_gated,8,geo,0,0.7038117241571322,1.0,0.6784903932235818,0.43333333333333335,0.7111538461538461,0.704990753273743,1,1.1608,cheap,0.5393,0,0.3218,cheap,1,20,20,0,1844.103,1844.554,10.8427
0,9000,dci_gated,9,geo,1,0.7798857320966481,0.4166666666666667,0.7229002652685388,0.5166666666666667,0.8892307692307693,0.6596027681291519,1,1.0008,cheap,0.9996,0,0.3294,cheap,1,48,48,0,5411.902,5412.776,8.8679
0,9000,dci_gated,10,geo,0,0.8651043846441083,1.0,0.8012294315017471,0.9,0.8295570079883806,0.8809555336596336,0,1.0009,cheap,0.9996,0,0.327,cheap,1,48,48,0,3698.799,3699.736,12.9739
