block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,gate_R4s,gate_audit,det_ms,features_used,sp_out_of_band,n_queries,n_ok,n_failed,exec_ms_window_sum,wall_ms_window,qps_window
0,9000,dci_gated,1,edge,0,0.8175445350038288,1.0,0.7788603733587827,0.8,0.8121794871794872,0.8419851314996369,0,1.0,cheap,1.0,0,0.6125,cheap,1,20,20,0,416.333,416.644,48.0026
0,9000,dci_gated,2,edge,0,0.8568140293617765,1.0,0.6505670034399254,0.9,0.8894871794871796,0.8577399849515062,0,1.5734,cheap,1.0,0,0.3349,cheap,1,20,20,0,373.605,373.939,53.4847
0,9000,dci_gated,3,edge,0,0.8126696968621718,1.0,0.6490735743448681,0.8,0.7725641025641026,0.808866754469132,0,1.6829,cheap,1.0,0,0.3569,cheap,1,20,20,0,544.174,544.446,36.7346
0,9000,dci_gated,4,edge,0,0.8657676528570004,1.0,0.5105933039520065,0.875,0.7637179487179487,0.8081182663123437,0,1.3079,cheap,1.0,0,0.3288,cheap,1,20,20,0,311.638,312.019,64.0986
0,9000,dci_gated,5,geo,1,0.4166952732048943,1.0,0.0,0.17142857142857143,0.8052564102564103,0.4592479941253994,1,1.093,cheap,0.6725,0,0.3298,cheap,1,20,20,0,7057.802,7058.438,2.8335
0,9000,dci_gated,6,geo,0,0.6707436088633502,1.0,0.4705343330096934,0.43333333333333335,0.6670512820512821,0.6485171277921352,1,1.0988,cheap,0.591,0,0.3473,cheap,1,20,20,0,3868.396,3868.868,5.1695
0,9000,dci_gated,7,geo,0,0.7644618960149923,1.0,0.6132316586056861,0.7166666666666667,0.7719230769230769,0.7728836005966802,0,1.0975,cheap,0.61,0,0.3333,cheap,1,20,20,0,2072.654,2073.111,9.6473
0,9000,dci_gated,8,geo,0,0.7038117241571322,1.0,0.6784903932235818,0.43333333333333335,0.7111538461538461,0.704990753273743,1,1.1608,cheap,0.5393,0,0.3408,cheap,1,20,20,0,1850.268,1850.837,10.8059
0,9000,dci_gated,9,geo,1,0.7798857320966481,0.4166666666666667,0.7229002652685388,0.5166666666666667,0.8892307692307693,0.6596027681291519,1,1.0008,cheap,0.9996,0,0.3391,cheap,1,48,48,0,5432.847,5433.73,8.8337
0,9000,dci_gated,10,geo,0,0.8651043846441083,1.0,0.8012294315017471,0.9,0.8295570079883806,0.8809555336596336,0,1.0009,cheap,0.9996,0,0.3271,cheap,1,48,48,0,3701.513,3702.479,12.9643
0,9000,dci_gated,11,geo,0,0.8185792599470637,1.0,0.717979596395753,0.8,0.6817719680464779,0.8105065294728883,0,1.0009,cheap,0.9996,0,0.3284,cheap,1,48,48,0,2765.775,2766.7,17.3492
0,9000,dci_gated,12,geo,0,0.8673824235724212,1.0,0.7774343356900039,0.9,0.6996732026143792,0.8572834534232631,0,1.0009,cheap,0.9996,0,0.3392,cheap,1,48,48,0,3170.715,3171.565,15.1345
0,9000,dci_gated,13,review,1,0.49268928470822393,1.0,0.061680684201312896,0.625,0.6897966594045026,0.5639779569279939,1,1.0012,cheap,0.9994,0,0.344,cheap,1,48,48,0,20883.735,20884.516,2.2984
0,9000,dci_gated,14,review,0,0.9746560095889856,1.0,0.8645974648316603,1.0,0.7807552650689906,0.9336967851239271,0,1.0012,cheap,0.9994,0,0.3355,cheap,1,48,48,0,1388.657,1389.181,34.5527
0,9000,dci_gated,15,review,0,0.8493820531950165,1.0,0.7305544206461717,0.9,0.7204429920116195,0.8465228462297314,0,1.0012,cheap,0.9994,0,0.2965,cheap,1,48,48,0,802.332,802.813,59.7898
0,9000,dci_gated,16,review,0,0.8532692316004895,1.0,0.5097697957329224,0.9,0.7220406681190996,0.8035773672645719,0,1.0013,cheap,0.9994,0,0.3252,cheap,1,48,48,0,1239.47,1239.958,38.711
0,9000,dci_gated,17,review,1,0.9142924900465794,0.4166666666666667,0.6858986867614657,1.0,0.715897435897436,0.7564708085818868,1,1.0007,cheap,0.9997,0,0.3323,cheap,1,20,20,0,781.252,781.438,25.5938
0,9000,dci_gated,18,review,0,0.8282667471598971,1.0,0.5256060811481686,0.9,0.7975641025641025,0.8118225184042235,0,1.0007,cheap,0.9997,0,0.3343,cheap,1,20,20,0,513.061,513.27,38.9659
0,9000,dci_gated,19,review,0,0.8488575160432829,1.0,0.8043062325516624,0.9,0.7771794871794873,0.8696525485980764,0,1.0007,cheap,0.9997,0,0.3189,cheap,1,20,20,0,311.974,312.17,64.0676
0,9000,dci_gated,20,review,0,0.8183277117007426,1.0,0.6971788830652785,0.9,0.8607692307692308,0.8531330891536261,0,1.0007,cheap,0.9997,0,0.3205,cheap,1,20,20,0,493.621,493.82,40.5005
0,9000,dci_gated,21,edge,1,0.5387363925604041,1.0,0.055772826813598075,0.46590909090909094,0.7557692307692309,0.5523858663000235,1,1.0008,cheap,0.9996,0,0.3386,cheap,1,20,20,0,506.184,506.485,39.4878
0,9000,dci_gated,22,edge,0,0.7453375586942754,1.0,0.790973357025115,0.625,0.6656410256410257,0.7693752149247457,0,1.0009,cheap,0.9996,0,0.3364,cheap,1,20,20,0,472.131,472.403,42.3367
0,9000,dci_gated,23,edge,0,0.8501775419428053,1.0,0.7442574154968986,0.8333333333333333,0.8337179487179488,0.8531202275594401,0,1.0009,cheap,0.9996,0,0.3242,cheap,1,20,20,0,303.071,303.387,65.9224
0,9000,dci_gated,24,edge,0,0.7607370766594177,1.0,0.8337420285188094,0.7,0.8378205128205128,0.8226057517916933,0,1.0009,cheap,0.9996,0,0.3531,cheap,1,20,20,0,296.841,297.138,67.3088
1,9100,dci_gated,1,edge,0,0.7377621311029372,1.0,0.6065163135330657,0.625,0.7437179487179487,0.7423014877900398,0,1.0,cheap,1.0,0,0.2985,cheap,1,20,20,0,276.382,276.725,72.274
1,9100,dci_gated,2,edge,0,0.8023583963705514,1.0,0.7811740311516991,0.75,0.8671794871794872,0.8369013283999008,0,1.3285,cheap,1.0,0,0.3457,cheap,1,20,20,0,367.576,367.877,54.366
1,9100,dci_gated,3,edge,0,0.8011682796979015,1.0,0.7973637282067566,0.75,0.7776923076923077,0.8264186617196729,0,1.6624,cheap,1.0,0,0.2849,cheap,1,20,20,0,95.032,95.368,209.7139
1,9100,dci_gated,4,edge,0,0.7266973441742279,1.0,0.8522150475328516,0.625,0.7894871794871796,0.7955404224732043,0,1.5672,cheap,1.0,0,0.3126,cheap,1,20,20,0,215.496,215.815,92.6719
1,9100,dci_gated,5,geo,1,0.4639699768845813,1.0,0.004989503928299777,0.375,0.7917948717948717,0.5107596257760361,1,1.2154,cheap,0.8254,0,0.3023,cheap,1,20,20,0,6926.541,6927.074,2.8872
1,9100,dci_gated,6,geo,0,0.9599686796632493,1.0,0.8082770218208601,1.0,0.711923076923077,0.908436035818446,0,1.2207,cheap,0.8201,0,0.3255,cheap,1,20,20,0,2635.703,2636.107,7.5869
1,9100,dci_gated,7,geo,0,0.8592950836629896,1.0,0.6292863483241348,0.875,0.5669230769230769,0.800719502119036,0,1.2434,cheap,0.8673,0,0.334,cheap,1,20,20,0,755.765,756.106,26.4513
1,9100,dci_gated,8,geo,0,0.8848003962680133,1.0,0.8078315726308664,0.7916666666666667,0.7925641025641026,0.8599843623111253,0,1.2556,cheap,0.7837,0,0.3221,cheap,1,20,20,0,1363.681,1364.112,14.6616
1,9100,dci_gated,9,geo,1,0.7851629822903892,0.4166666666666667,0.7396034083420171,0.6166666666666667,0.7371794871794872,0.6614550169845905,1,1.0006,cheap,0.9998,0,0.3336,cheap,1,48,48,0,2642.911,2643.734,18.1561
1,9100,dci_gated,10,geo,0,0.8852730262587669,1.0,0.850054124261597,0.9,0.6659404502541757,0.8712201489551376,0,1.0006,cheap,0.9998,0,0.3327,cheap,1,48,48,0,2227.707,2228.504,21.5391
1,9100,dci_gated,11,geo,0,0.8663708329773616,1.0,0.71089488837567,0.9,0.6392156862745099,0.8346540388606509,0,1.0006,cheap,0.9998,0,0.3528,cheap,1,48,48,0,1947.237,1948.025,24.6403
1,9100,dci_gated,12,geo,0,0.8221901242892975,1.0,0.6353358242897831,0.8,0.5930646332607117,0.7815743909193877,0,1.0006,cheap,0.9998,0,0.3234,cheap,1,48,48,0,2923.723,2924.683,16.412
1,9100,dci_gated,13,review,1,0.43513085851010846,1.0,0.015185416042606592,0.3833333333333333,0.816485112563544,0.5109592313872467,1,1.0011,cheap,0.9997,0,0.3246,cheap,1,48,48,0,22636.941,22637.706,2.1204
1,9100,dci_gated,14,review,0,0.8659090845677841,1.0,0.7207059742241875,0.8444444444444444,0.7233841684822077,0.8380149801480036,0,1.0011,cheap,0.9997,0,0.3266,cheap,1,48,48,0,1212.822,1213.312,39.5611
1,9100,dci_gated,15,review,0,0.9829197728790905,1.0,0.8002969944550988,1.0,0.8270152505446624,0.9298416296924918,0,1.0011,cheap,0.9997,0,0.3355,cheap,1,48,48,0,1230.162,1230.639,39.0041
1,9100,dci_gated,16,review,0,0.9061340949801014,1.0,0.645206854763099,1.0,0.7966230936819173,0.8750683587499328,0,1.0012,cheap,0.9997,0,0.3214,cheap,1,48,48,0,882.352,882.875,54.3679
1,9100,dci_gated,17,review,1,0.8343088634737803,0.4166666666666667,0.6783433712258631,0.7444444444444445,0.8258974358974359,0.7003527277204553,1,1.0006,cheap,0.9998,0,0.3023,cheap,1,20,20,0,424.992,425.192,47.0375
1,9100,dci_gated,18,review,0,0.6987811230180054,1.0,0.5335588036272452,0.43333333333333335,0.8041025641025642,0.6886890927620017,1,1.0006,cheap,0.9998,0,0.3447,cheap,1,20,20,0,595.815,595.985,33.5579
1,9100,dci_gated,19,review,0,0.7697655149738658,1.0,0.44635349582275285,0.8888888888888888,0.7707692307692308,0.7751052403011794,0,1.0006,cheap,0.9998,0,0.342,cheap,1,20,20,0,432.757,432.969,46.1927
1,9100,dci_gated,20,review,0,0.6980180511453791,1.0,0.44804665425294254,0.5694444444444444,0.8107692307692309,0.6996181171412068,0,1.0007,cheap,0.9998,0,0.3056,cheap,1,20,20,0,472.688,472.894,42.2928
1,9100,dci_gated,21,edge,1,0.5122410911516139,1.0,0.039840665813421605,0.29545454545454547,0.6705128205128205,0.49569623811841995,1,1.0009,cheap,0.9997,0,0.3026,cheap,1,20,20,0,490.803,491.045,40.7294
1,9100,dci_gated,22,edge,0,0.8758291863952269,1.0,0.8553125839255101,0.9,0.7356410256410257,0.8803659672300627,0,1.0009,cheap,0.9997,0,0.3385,cheap,1,20,20,0,400.379,400.627,49.9218
1,9100,dci_gated,23,edge,0,0.8758445046064223,1.0,0.8784609690653701,0.9,0.7206410256410256,0.8827494738108335,0,1.0009,cheap,0.9997,0,0.2885,cheap,1,20,20,0,525.594,525.85,38.0337
1,9100,dci_gated,24,edge,0,0.8561388285897877,1.0,0.7775282210454202,0.875,0.7893589743589744,0.8629441975103772,0,1.0009,cheap,0.9997,0,0.2957,cheap,1,20,20,0,586.981,587.257,34.0567
2,9200,dci_gated,1,edge,0,0.8682972782400727,1.0,0.8148758831487549,0.875,0.6656410256410257,0.854895650035923,0,1.0,cheap,1.0,0,0.3224,cheap,1,20,20,0,517.811,518.071,38.6048
2,9200,dci_gated,2,edge,0,0.976892054630154,1.0,0.8362904532015769,1.0,0.7757692307692308,0.9278464889132384,0,1.0462,cheap,1.0,0,0.3344,cheap,1,20,20,0,435.64,435.921,45.8799
2,9200,dci_gated,3,edge,0,0.8265711565012832,1.0,0.8108459312778248,0.8,0.7937179487179488,0.8478696676885782,0,1.1625,cheap,1.0,0,0.3247,cheap,1,20,20,0,258.573,258.817,77.2745
2,9200,dci_gated,4,edge,0,0.8256494585299246,1.0,0.4786395772662131,0.8,0.808846153846154,0.7834672031626468,0,1.5154,cheap,1.0,0,0.2794,cheap,1,20,20,0,378.601,378.93,52.7802
2,9200,dci_gated,5,geo,1,0.5423384042731032,1.0,0.043757672249943314,0.425,0.7753846153846154,0.5456438278259568,1,1.1085,cheap,1.0858,0,0.3089,cheap,1,20,20,0,7009.689,7010.176,2.853
2,9200,dci_gated,6,geo,0,0.7675187116963861,1.0,0.6474064091640066,0.6333333333333333,0.7607692307692309,0.7621430110389491,0,1.1404,cheap,0.9242,0,0.3178,cheap,1,20,20,0,3935.712,3936.131,5.0811
2,9200,dci_gated,7,geo,0,0.6846839869196966,1.0,0.35547574444646346,0.55,0.7305128205128205,0.6618430686961398,1,1.1177,cheap,0.8479,0,0.3204,cheap,1,20,20,0,1254.505,1254.83,15.9384
2,9200,dci_gated,8,geo,0,0.7715106640479703,1.0,0.6850200224480734,0.7333333333333334,0.6073076923076923,0.7676444910144279,0,1.1242,cheap,0.8944,0,0.3007,cheap,1,20,20,0,1017.36,1017.698,19.6522
2,9200,dci_gated,9,geo,1,0.8567799735987254,0.4166666666666667,0.7322422278296491,0.9166666666666667,0.6417948717948718,0.7235793364015086,1,1.0006,cheap,0.9999,0,0.3307,cheap,1,48,48,0,2244.992,2245.923,21.3721
2,9200,dci_gated,10,geo,0,0.8870904647300609,1.0,0.7603038404028006,0.9,0.8502904865649965,0.8813769572478249,0,1.0006,cheap,0.9999,0,0.3327,cheap,1,48,48,0,2350.829,2351.681,20.4109
2,9200,dci_gated,11,geo,0,0.8873300023769842,1.0,0.664143874107521,0.9,0.7622367465504721,0.8489967873983212,0,1.0006,cheap,0.9999,0,0.3196,cheap,1,48,48,0,3167.397,3168.167,15.1507
2,9200,dci_gated,12,geo,0,0.8592143362075808,1.0,0.4457405128609171,0.9,0.842084241103849,0.810264322789656,0,1.0006,cheap,0.9999,0,0.3161,cheap,1,48,48,0,3851.869,3852.754,12.4586
2,9200,dci_gated,13,review,1,0.44699686941163186,1.0,0.014522700340317996,0.425,0.8542120551924474,0.5277855656998387,1,1.001,cheap,0.9997,0,0.3262,cheap,1,48,48,0,23064.871,23065.678,2.081
2,9200,dci_gated,14,review,0,0.7881822592374996,1.0,0.5956368476772915,0.788888888888889,0.7634350036310822,0.7884659626672734,0,1.0011,cheap,0.9997,0,0.5787,cheap,1,48,48,0,1020.078,1020.626,47.03
2,9200,dci_gated,15,review,0,0.8534417801898818,1.0,0.6761377150415979,0.8888888888888888,0.7241830065359478,0.8349932168139601,0,1.0011,cheap,0.9997,0,0.2637,cheap,1,48,48,0,857.8,858.271,55.9264
